sentence1,sentence2,score,pair_type,topic
Teknoloji devi yeni oyun konsolu modelini duyurdu.,Şirket güncellenmiş oyun konsolu sürümünü kullanıma sundu.,0.763135,paraphrase,teknoloji
Usta oyuncu eşiyle Bolu'da tatil yaparken görüntülendi.,Usta oyuncu ve eşinin Bolu tatilinden kareler paylaşıldı.,0.949553,paraphrase,magazin
Teknoloji şirketi yeni sohbet robotu tanıttı.,Popüler uygulama dizüstü bilgisayar için yeni güncelleme yayınladı.,0.474662,related,teknoloji
Trabzon'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Trabzon'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.834348,paraphrase,asayis
"ünlü sunucu, Eskişehir'da tatilde görüntülendi.",sevilen komedyen yeni projesiyle ekranlara dönüyor.,0.271808,related,magazin
Gaziantep'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.180979,unrelated,asayis|saglik
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,Uzmanlar zatürre vakalarındaki artışa dikkat çekti.,0.403438,related,saglik
"Trabzonspor, yıldız futbolcuyla sözleşme yeniledi.",Enerji Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.133356,unrelated,spor|siyaset
"Kayserispor, tecrübeli oyuncuyla anlaşmaya vardı.",Kayserispor deneyimli futbolcuyu kadrosuna kattı.,0.750626,paraphrase,spor
Dolar kuru güne yüzde 6 yükselişle başladı.,Teknoloji şirketi yeni akıllı telefon tanıttı.,0.184453,unrelated,ekonomi|teknoloji
iktidar partisi yeni yasa teklifini meclise sundu.,popüler sunucu yeni projesiyle ekranlara dönüyor.,0.292243,unrelated,siyaset|magazin
ana muhalefet partisi yeni yasa teklifini meclise sundu.,mecliste grubu bulunan bir parti yeni yasa teklifini meclise sundu.,0.867691,related,siyaset
Sevilen komedyen eşiyle Konya'da tatil yaparken görüntülendi.,Sevilen komedyen ve eşinin Konya tatilinden kareler paylaşıldı.,0.966826,paraphrase,magazin
Sivasspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,"Antalyaspor, sahasında Fenerbahçe'yi 3-2 mağlup etti.",0.258118,related,spor
Aydın'da iki aracın çarpışması sonucu 3 kişi yaralandı.,Aydın'daki trafik kazasında 3 kişi yaralı kurtuldu.,0.900468,paraphrase,asayis
ödüllü yönetmen yeni projesiyle ekranlara dönüyor.,popüler sunucu eşinden boşandığını duyurdu.,0.215598,related,magazin
Kayseri'da meydana gelen trafik kazasında 1 kişi yaralandı.,Bolu'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.168054,related,asayis
Tarım ve Orman Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Cumhurbaşkanı Yunanistan'e resmi ziyarette bulundu.,0.123969,related,siyaset
Bursa'da iki aracın çarpışması sonucu 6 kişi yaralandı.,Bursa'daki trafik kazasında 6 kişi yaralı kurtuldu.,0.902699,paraphrase,asayis
genç oyuncu eşinden boşandığını duyurdu.,fenomen isim sürpriz bir törenle dünyaevine girdi.,0.205515,related,magazin
Kayseri'a mevsimin ilk karı düştü.,Uzmanlar zatürre vakalarındaki artışa dikkat çekti.,0.159573,unrelated,hava|saglik
Konyaspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,Samsunspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.873163,related,spor
Ünlü model eşiyle Trabzon'da tatil yaparken görüntülendi.,Ünlü model ve eşinin Trabzon tatilinden kareler paylaşıldı.,0.960258,paraphrase,magazin
Sanayi ve Teknoloji Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Trabzon'da meydana gelen trafik kazasında 2 kişi yaralandı.,0.109134,unrelated,siyaset|asayis
Uzmanlar şeker hastalığı vakalarındaki artışa dikkat çekti.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.586262,related,saglik
Cumhurbaşkanı ABD'e resmi ziyarette bulundu.,Cumhurbaşkanı İngiltere'e resmi ziyarette bulundu.,0.794352,related,siyaset
Almanya'de yapılan seçimleri muhalefet kazandı.,Yunanistan'de meydana gelen depremde maddi hasar oluştu.,0.210351,related,dunya
"Trabzonspor, Fenerbahçe karşısında sahadan 1-1 galip ayrıldı.",Trabzonspor evinde Fenerbahçe'yi 1-1'lik skorla yendi.,0.870247,paraphrase,spor
Cumhurbaşkanı İngiltere'e resmi ziyarette bulundu.,Sakarya'a mevsimin ilk karı düştü.,0.123633,unrelated,siyaset|hava
Liderler Hollanda'de düzenlenen zirvede bir araya geldi.,Hollanda'deki zirvede liderler önemli konuları görüştü.,0.8291,paraphrase,siyaset
İzmir'da meydana gelen trafik kazasında 1 kişi yaralandı.,Konyaspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.259395,unrelated,asayis|spor
ünlü şarkıcı yeni projesiyle ekranlara dönüyor.,Almanya'de yapılan seçimleri muhalefet kazandı.,0.06445,unrelated,magazin|dunya
Ankara'da iki aracın çarpışması sonucu 5 kişi yaralandı.,Ankara'daki trafik kazasında 5 kişi yaralı kurtuldu.,0.914644,paraphrase,asayis
Sakarya'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Galatasaray teknik direktörüyle yollarını ayırdı.,0.14455,unrelated,asayis|spor
Meteoroloji Kayseri için kuvvetli yağış uyarısı yaptı.,Hollanda iklim zirvesine ev sahipliği yapıyor.,0.314337,unrelated,hava|dunya
Ünlü sunucu sevgilisiyle nişanlandı.,Ünlü sunucu mutlu haberi nişan yüzükleriyle duyurdu.,0.739727,paraphrase,magazin
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Cumhurbaşkanı Almanya'e resmi ziyarette bulundu.,0.105315,unrelated,teknoloji|siyaset
usta oyuncu sürpriz bir törenle dünyaevine girdi.,pop yıldızı sürpriz bir törenle dünyaevine girdi.,0.848928,related,magazin
Meteoroloji Adana için kuvvetli yağış uyarısı yaptı.,İstanbul'a mevsimin ilk karı düştü.,0.209297,related,hava
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.09359,unrelated,teknoloji|saglik
Samsunspor teknik direktörüyle yollarını ayırdı.,ünlü şarkıcı sürpriz bir törenle dünyaevine girdi.,0.014353,unrelated,spor|magazin
Borsa İstanbul günü yüzde 25 değişimle kapattı.,Fransa iklim zirvesine ev sahipliği yapıyor.,0.037339,unrelated,ekonomi|dunya
"genç oyuncu, Kayseri'da tatilde görüntülendi.",Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.058288,unrelated,magazin|saglik
Teknoloji şirketi yeni akıllı telefon tanıttı.,Merkez Bankası politika faizini sabit tuttu.,0.043333,unrelated,teknoloji|ekonomi
"Beşiktaş, tecrübeli oyuncuyla anlaşmaya vardı.",Beşiktaş deneyimli futbolcuyu kadrosuna kattı.,0.727458,paraphrase,spor
Meteoroloji Ankara için kuvvetli yağış uyarısı yaptı.,Sakarya'a mevsimin ilk karı düştü.,0.235841,related,hava
Pop yıldızı eşiyle Denizli'da tatil yaparken görüntülendi.,Pop yıldızı ve eşinin Denizli tatilinden kareler paylaşıldı.,0.963593,paraphrase,magazin
fenomen isim eşinden boşandığını duyurdu.,İspanya iklim zirvesine ev sahipliği yapıyor.,0.049874,unrelated,magazin|dunya
Yüksek tansiyon vakalarında son haftalarda belirgin artış görüldü.,Sağlık yetkilileri yüksek tansiyon vakalarının yükseldiğini bildirdi.,0.751588,paraphrase,saglik
Samsun'da iki aracın çarpışması sonucu 2 kişi yaralandı.,Samsun'daki trafik kazasında 2 kişi yaralı kurtuldu.,0.895848,paraphrase,asayis
Meteoroloji Bursa için kuvvetli yağış uyarısı yaptı.,sevilen komedyen yeni projesiyle ekranlara dönüyor.,0.101057,unrelated,hava|magazin
Yunanistan'de yapılan seçimleri muhalefet kazandı.,Rusya'de meydana gelen depremde maddi hasar oluştu.,0.170672,related,dunya
"Fenerbahçe, ligi lider tamamlayarak şampiyonluğa ulaştı.",Fenerbahçe sezonu zirvede bitirip şampiyon oldu.,0.89027,paraphrase,spor
Trabzonspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,"Sivasspor, yıldız futbolcuyla sözleşme yeniledi.",0.288826,related,spor
"Başakşehir, yıldız futbolcuyla sözleşme yeniledi.",Muğla'a mevsimin ilk karı düştü.,0.082227,unrelated,spor|hava
ünlü model yeni projesiyle ekranlara dönüyor.,ünlü model sürpriz bir törenle dünyaevine girdi.,0.573262,related,magazin
İstanbul'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,İstanbul'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.433523,related,asayis
Bolu'da meydana gelen trafik kazasında 2 kişi yaralandı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.081537,unrelated,asayis|saglik
"Konyaspor, tecrübeli oyuncuyla anlaşmaya vardı.",Konyaspor deneyimli futbolcuyu kadrosuna kattı.,0.788773,paraphrase,spor
Ünlü sunucu eşiyle Konya'da tatil yaparken görüntülendi.,Ünlü sunucu ve eşinin Konya tatilinden kareler paylaşıldı.,0.960666,paraphrase,magazin
"Sivasspor, Göztepe karşısında sahadan 3-1 galip ayrıldı.",Sivasspor evinde Göztepe'yi 3-1'lik skorla yendi.,0.895547,paraphrase,spor
"Trabzonspor, Hatayspor karşısında sahadan 2-0 galip ayrıldı.",Trabzonspor evinde Hatayspor'yi 2-0'lik skorla yendi.,0.894507,paraphrase,spor
Almanya'de meydana gelen depremde maddi hasar oluştu.,ünlü sunucu eşinden boşandığını duyurdu.,0.18686,unrelated,dunya|magazin
İspanya'de meydana gelen depremde maddi hasar oluştu.,İtalya'de yapılan seçimleri muhalefet kazandı.,0.21873,related,dunya
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,Teknoloji şirketi yeni oyun konsolu tanıttı.,0.345542,unrelated,saglik|teknoloji
Dolar kuru güne yüzde 9 yükselişle başladı.,Popüler uygulama giyilebilir cihaz için yeni güncelleme yayınladı.,0.245821,unrelated,ekonomi|teknoloji
Merkez Bankası faiz oranlarında değişikliğe gitti.,TCMB politika faizini güncelledi.,0.688458,paraphrase,ekonomi
Ünlü oyuncu eşiyle Sakarya'da tatil yaparken görüntülendi.,Ünlü oyuncu ve eşinin Sakarya tatilinden kareler paylaşıldı.,0.960363,paraphrase,magazin
Samsun'a mevsimin ilk karı düştü.,Meteoroloji Denizli için kuvvetli yağış uyarısı yaptı.,0.167132,related,hava
Meteoroloji Gaziantep için kuvvetli yağış uyarısı yaptı.,Trabzon'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.188688,unrelated,hava|asayis
Popüler uygulama yapay zeka modeli için yeni güncelleme yayınladı.,pop yıldızı yeni projesiyle ekranlara dönüyor.,0.359646,unrelated,teknoloji|magazin
Merkez Bankası politika faizini sabit tuttu.,Borsa İstanbul günü yüzde 4 değişimle kapattı.,0.191192,related,ekonomi
Bodrum FK teknik direktörüyle yollarını ayırdı.,sevilen sanatçı eşinden boşandığını duyurdu.,0.241524,unrelated,spor|magazin
Trabzonspor teknik direktörüyle yollarını ayırdı.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.096512,unrelated,spor|saglik
"Bodrum FK, ligi lider tamamlayarak şampiyonluğa ulaştı.",Bodrum FK sezonu zirvede bitirip şampiyon oldu.,0.925719,paraphrase,spor
Merkez Bankası politika faizini sabit tuttu.,"ünlü model, Gaziantep'da tatilde görüntülendi.",0.12151,unrelated,ekonomi|magazin
"Gaziantep FK, yıldız futbolcuyla sözleşme yeniledi.",koalisyon ortağı yeni yasa teklifini meclise sundu.,0.169098,unrelated,spor|siyaset
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Trabzonspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,-0.009035,unrelated,teknoloji|spor
Teknoloji şirketi yeni dizüstü bilgisayar tanıttı.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.327897,unrelated,teknoloji|saglik
Popüler uygulama sohbet robotu için yeni güncelleme yayınladı.,Enerji Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.368011,unrelated,teknoloji|siyaset
Yıllık enflasyon yüzde 35 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 35 olarak duyurdu.,0.956291,paraphrase,ekonomi
"pop yıldızı, Aydın'da tatilde görüntülendi.",Teknoloji şirketi yeni giyilebilir cihaz tanıttı.,0.101008,unrelated,magazin|teknoloji
İspanya'de meydana gelen depremde maddi hasar oluştu.,mecliste grubu bulunan bir parti yeni yasa teklifini meclise sundu.,0.075072,unrelated,dunya|siyaset
Enerji Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Cumhurbaşkanı İngiltere'e resmi ziyarette bulundu.,0.212081,related,siyaset
İzmir ve çevresi için sağanak yağış bekleniyor.,Meteoroloji İzmir için sağanak uyarısında bulundu.,0.744582,paraphrase,hava
Teknoloji şirketi yeni sohbet robotu tanıttı.,İçişleri Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.312597,unrelated,teknoloji|siyaset
Borsa İstanbul günü yüzde 33 değişimle kapattı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.13441,unrelated,ekonomi|saglik
Teknoloji şirketi yeni akıllı telefon tanıttı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.145304,unrelated,teknoloji|saglik
Merkez Bankası politika faizini sabit tuttu.,İstanbul'a mevsimin ilk karı düştü.,0.111174,unrelated,ekonomi|hava
"Samsunspor, yıldız futbolcuyla sözleşme yeniledi.",Kasımpaşa teknik direktörüyle yollarını ayırdı.,0.347882,related,spor
"Adana Demirspor, sahasında Hatayspor'yi 4-3 mağlup etti.",Adana'da sıcaklık 39 dereceye ulaştı.,0.293965,unrelated,spor|hava
ödüllü yönetmen yeni projesiyle ekranlara dönüyor.,pop yıldızı eşinden boşandığını duyurdu.,0.187048,related,magazin
genç oyuncu eşinden boşandığını duyurdu.,Sakarya'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.10492,unrelated,magazin|asayis
Samsun'da çıkan yangın itfaiye ekiplerince söndürüldü.,Uzmanlar şeker hastalığı vakalarındaki artışa dikkat çekti.,0.199856,unrelated,asayis|saglik
Borsa İstanbul günü yüzde 17 değişimle kapattı.,Uzmanlar migren vakalarındaki artışa dikkat çekti.,0.185253,unrelated,ekonomi|saglik
Zeytinyağı fiyatları son bir ayda yüzde 23 arttı.,Borsa İstanbul günü yüzde 11 değişimle kapattı.,0.260646,related,ekonomi
Gaziantep'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Bolu'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.851145,related,asayis
pop yıldızı eşinden boşandığını duyurdu.,pop yıldızı yeni projesiyle ekranlara dönüyor.,0.456705,related,magazin
Teknoloji devi yeni akıllı telefon modelini duyurdu.,Şirket güncellenmiş akıllı telefon sürümünü kullanıma sundu.,0.796409,paraphrase,teknoloji
Japonya'de düzenlenen genel seçimlerde sonuçlar belli oldu.,Japonya halkı sandık başına giderek yeni yönetimini seçti.,0.568839,paraphrase,dunya
Bursa'da çıkan yangın itfaiye ekiplerince söndürüldü.,popüler sunucu sürpriz bir törenle dünyaevine girdi.,0.173346,unrelated,asayis|magazin
Denizli'a mevsimin ilk karı düştü.,Bursa'da sıcaklık 30 dereceye ulaştı.,0.18802,related,hava
Almanya iklim zirvesine ev sahipliği yapıyor.,ünlü model yeni projesiyle ekranlara dönüyor.,0.090933,unrelated,dunya|magazin
usta oyuncu sürpriz bir törenle dünyaevine girdi.,genç oyuncu eşinden boşandığını duyurdu.,0.417807,related,magazin
popüler sunucu sürpriz bir törenle dünyaevine girdi.,"Beşiktaş, sahasında Antalyaspor'yi 3-3 mağlup etti.",0.014411,unrelated,magazin|spor
Bolu'da iki aracın çarpışması sonucu 5 kişi yaralandı.,Bolu'daki trafik kazasında 5 kişi yaralı kurtuldu.,0.900372,paraphrase,asayis
Ekmek fiyatları son bir ayda yüzde 39 arttı.,Trabzon'a mevsimin ilk karı düştü.,0.147759,unrelated,ekonomi|hava
Teknoloji devi yeni işletim sistemi modelini duyurdu.,Şirket güncellenmiş işletim sistemi sürümünü kullanıma sundu.,0.768892,paraphrase,teknoloji
Cumhurbaşkanı Rusya'e resmi ziyarette bulundu.,Cumhurbaşkanı İspanya'e resmi ziyarette bulundu.,0.7181,related,siyaset
Adana'da meydana gelen trafik kazasında 4 kişi yaralandı.,İspanya iklim zirvesine ev sahipliği yapıyor.,0.012604,unrelated,asayis|dunya
usta oyuncu yeni projesiyle ekranlara dönüyor.,İtalya'de meydana gelen depremde maddi hasar oluştu.,0.082238,unrelated,magazin|dunya
Ankara'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Bursa'da meydana gelen trafik kazasında 4 kişi yaralandı.,0.214117,related,asayis
Muğla'da sıcaklık 43 dereceye ulaştı.,Meteoroloji İzmir için kuvvetli yağış uyarısı yaptı.,0.372992,related,hava
Muğla'da hava sıcaklığı mevsim normallerinin üzerine çıktı.,Muğla beklenenden daha sıcak bir güne uyandı.,0.686253,paraphrase,hava
Bolu'da iki aracın çarpışması sonucu 4 kişi yaralandı.,Bolu'daki trafik kazasında 4 kişi yaralı kurtuldu.,0.88786,paraphrase,asayis
Sakarya'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Cumhurbaşkanı Yunanistan'e resmi ziyarette bulundu.,0.128687,unrelated,asayis|siyaset
Samsun'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Samsun'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.831521,paraphrase,asayis
"Alanyaspor, sahasında Başakşehir'yi 1-0 mağlup etti.",Sakarya'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.23691,unrelated,spor|asayis
Uzmanlar yüksek tansiyon vakalarındaki artışa dikkat çekti.,Teknoloji şirketi yeni yapay zeka modeli tanıttı.,0.106858,unrelated,saglik|teknoloji
Muğla'da çıkan yangın itfaiye ekiplerince söndürüldü.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.161351,unrelated,asayis|saglik
"Kayserispor, ligi lider tamamlayarak şampiyonluğa ulaştı.",Kayserispor sezonu zirvede bitirip şampiyon oldu.,0.899444,paraphrase,spor
Dolar kuru güne yüzde 10 yükselişle başladı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.24088,unrelated,ekonomi|saglik
İzmir'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,İzmir'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.836673,paraphrase,asayis
Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,Dolar kuru güne yüzde 33 yükselişle başladı.,0.227745,unrelated,saglik|ekonomi
Diyarbakır'da iki aracın çarpışması sonucu 5 kişi yaralandı.,Diyarbakır'daki trafik kazasında 5 kişi yaralı kurtuldu.,0.914902,paraphrase,asayis
Teknoloji şirketi yeni akıllı telefon tanıttı.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.370701,related,teknoloji
Sevilen sanatçı sevgilisiyle nişanlandı.,Sevilen sanatçı mutlu haberi nişan yüzükleriyle duyurdu.,0.733679,paraphrase,magazin
Et fiyatları son bir ayda yüzde 12 arttı.,Tavuk fiyatları son bir ayda yüzde 29 arttı.,0.619756,related,ekonomi
Fenomen isim sevgilisiyle nişanlandı.,Fenomen isim mutlu haberi nişan yüzükleriyle duyurdu.,0.665664,paraphrase,magazin
İstanbul'da hava sıcaklığı mevsim normallerinin üzerine çıktı.,İstanbul beklenenden daha sıcak bir güne uyandı.,0.681883,paraphrase,hava
Eskişehir'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Eskişehir'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.825755,paraphrase,asayis
Genç oyuncu eşiyle Diyarbakır'da tatil yaparken görüntülendi.,Genç oyuncu ve eşinin Diyarbakır tatilinden kareler paylaşıldı.,0.956401,paraphrase,magazin
Et fiyatları son bir ayda yüzde 4 arttı.,Milli Eğitim Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.086666,unrelated,ekonomi|siyaset
Bolu'da iki aracın çarpışması sonucu 6 kişi yaralandı.,Bolu'daki trafik kazasında 6 kişi yaralı kurtuldu.,0.887055,paraphrase,asayis
İngiltere'de yapılan seçimleri muhalefet kazandı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.221589,unrelated,dunya|saglik
Merkez Bankası politika faizini sabit tuttu.,Sakarya'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.097779,unrelated,ekonomi|asayis
"Alanyaspor, Hatayspor karşısında sahadan 1-1 galip ayrıldı.",Alanyaspor evinde Hatayspor'yi 1-1'lik skorla yendi.,0.903683,paraphrase,spor
Ankara'da iki aracın çarpışması sonucu 6 kişi yaralandı.,Ankara'daki trafik kazasında 6 kişi yaralı kurtuldu.,0.904616,paraphrase,asayis
Başakşehir'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,İspanya iklim zirvesine ev sahipliği yapıyor.,-0.014826,unrelated,spor|dunya
Sevilen komedyen eşiyle Antalya'da tatil yaparken görüntülendi.,Sevilen komedyen ve eşinin Antalya tatilinden kareler paylaşıldı.,0.969256,paraphrase,magazin
Ünlü model sevgilisiyle nişanlandı.,Ünlü model mutlu haberi nişan yüzükleriyle duyurdu.,0.757291,paraphrase,magazin
Trabzon'da sıcaklık 37 dereceye ulaştı.,popüler sunucu yeni projesiyle ekranlara dönüyor.,0.075334,unrelated,hava|magazin
Kayserispor teknik direktörüyle yollarını ayırdı.,"Rizespor, yıldız futbolcuyla sözleşme yeniledi.",0.34629,related,spor
Dolar kuru güne yüzde 12 yükselişle başladı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.249402,unrelated,ekonomi|saglik
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,sevilen sanatçı sürpriz bir törenle dünyaevine girdi.,0.096268,unrelated,saglik|magazin
Hazine ve Maliye Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Teknoloji şirketi yeni dizüstü bilgisayar tanıttı.,0.381071,unrelated,siyaset|teknoloji
iktidar partisi yeni yasa teklifini meclise sundu.,ana muhalefet partisi yeni yasa teklifini meclise sundu.,0.88745,related,siyaset
"Gaziantep FK, ligi lider tamamlayarak şampiyonluğa ulaştı.",Gaziantep FK sezonu zirvede bitirip şampiyon oldu.,0.922603,paraphrase,spor
Antalya'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Antalya'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.850571,paraphrase,asayis
Yıllık enflasyon yüzde 1 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 1 olarak duyurdu.,0.941156,paraphrase,ekonomi
Muğla'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Popüler uygulama dizüstü bilgisayar için yeni güncelleme yayınladı.,0.150831,unrelated,asayis|teknoloji
ana muhalefet partisi yeni yasa teklifini meclise sundu.,Trabzon'da sıcaklık 35 dereceye ulaştı.,0.036586,unrelated,siyaset|hava
Eskişehir'da hava sıcaklığı mevsim normallerinin üzerine çıktı.,Eskişehir beklenenden daha sıcak bir güne uyandı.,0.697582,paraphrase,hava
Aydın'da sıcaklık 40 dereceye ulaştı.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.113134,unrelated,hava|saglik
ünlü sunucu eşinden boşandığını duyurdu.,Popüler uygulama sohbet robotu için yeni güncelleme yayınladı.,0.233646,unrelated,magazin|teknoloji
Borsa İstanbul günü yüzde 20 değişimle kapattı.,"sevilen komedyen, İstanbul'da tatilde görüntülendi.",0.218577,unrelated,ekonomi|magazin
Ünlü model eşiyle Ankara'da tatil yaparken görüntülendi.,Ünlü model ve eşinin Ankara tatilinden kareler paylaşıldı.,0.961135,paraphrase,magazin
Tarım ve Orman Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Cumhurbaşkanı Fransa'e resmi ziyarette bulundu.,0.149581,related,siyaset
Çin'de yapılan seçimleri muhalefet kazandı.,Fransa'de meydana gelen depremde maddi hasar oluştu.,0.237955,related,dunya
Muz fiyatları son bir ayda yüzde 12 arttı.,Teknoloji şirketi yeni giyilebilir cihaz tanıttı.,0.110071,unrelated,ekonomi|teknoloji
Liderler Almanya'de düzenlenen zirvede bir araya geldi.,Almanya'deki zirvede liderler önemli konuları görüştü.,0.818521,paraphrase,siyaset
Usta oyuncu eşiyle Antalya'da tatil yaparken görüntülendi.,Usta oyuncu ve eşinin Antalya tatilinden kareler paylaşıldı.,0.96076,paraphrase,magazin
İspanya'de yapılan seçimleri muhalefet kazandı.,Teknoloji şirketi yeni oyun konsolu tanıttı.,0.15058,unrelated,dunya|teknoloji
Fransa'de yapılan seçimleri muhalefet kazandı.,Çin iklim zirvesine ev sahipliği yapıyor.,0.068427,related,dunya
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,Popüler uygulama işletim sistemi için yeni güncelleme yayınladı.,0.367964,unrelated,saglik|teknoloji
Ünlü model eşiyle İzmir'da tatil yaparken görüntülendi.,Ünlü model ve eşinin İzmir tatilinden kareler paylaşıldı.,0.959907,paraphrase,magazin
Yapay zeka destekli tanı sistemi hastanelerde kullanılmaya başlandı.,Hastaneler teşhis süreçlerinde yapay zekadan yararlanmaya başladı.,0.896812,paraphrase,teknoloji
"sevilen sanatçı, Trabzon'da tatilde görüntülendi.",pop yıldızı yeni projesiyle ekranlara dönüyor.,0.252857,related,magazin
Ödüllü yönetmen sevgilisiyle nişanlandı.,Ödüllü yönetmen mutlu haberi nişan yüzükleriyle duyurdu.,0.697153,paraphrase,magazin
"Fenerbahçe, Eyüpspor karşısında sahadan 2-0 galip ayrıldı.",Fenerbahçe evinde Eyüpspor'yi 2-0'lik skorla yendi.,0.890634,paraphrase,spor
Cumhurbaşkanı Fransa'e resmi ziyarette bulundu.,Dolar kuru güne yüzde 39 yükselişle başladı.,0.116981,unrelated,siyaset|ekonomi
İzmir'da iki aracın çarpışması sonucu 3 kişi yaralandı.,İzmir'daki trafik kazasında 3 kişi yaralı kurtuldu.,0.901318,paraphrase,asayis
Ankara'da çıkan yangın itfaiye ekiplerince söndürüldü.,Muz fiyatları son bir ayda yüzde 6 arttı.,0.06221,unrelated,asayis|ekonomi
Ulaştırma Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,iktidar partisi yeni yasa teklifini meclise sundu.,0.421446,related,siyaset
İzmir'da çıkan yangın itfaiye ekiplerince söndürüldü.,Cumhurbaşkanı İngiltere'e resmi ziyarette bulundu.,0.147494,unrelated,asayis|siyaset
"Eyüpspor, sahasında Rizespor'yi 4-3 mağlup etti.","Bodrum FK, yıldız futbolcuyla sözleşme yeniledi.",0.179693,related,spor
Diyarbakır'da çıkan yangın itfaiye ekiplerince söndürüldü.,Popüler uygulama işletim sistemi için yeni güncelleme yayınladı.,0.128615,unrelated,asayis|teknoloji
Aydın'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Aydın'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.82983,paraphrase,asayis
Denizli'da iki aracın çarpışması sonucu 5 kişi yaralandı.,Denizli'daki trafik kazasında 5 kişi yaralı kurtuldu.,0.908258,paraphrase,asayis
Yıllık enflasyon yüzde 13 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 13 olarak duyurdu.,0.965036,paraphrase,ekonomi
